|=============================================================|
  Memory			Contents
  Address
|=============================================================|
    1000		454F4600  00030000  00000000  00000000
    1990		00000000  00000000  00000000  00000000
    19A0		00000000  00000000  00000000  00000000
    19B0		00000000  00000000  00000000  00000000
    19C0		00000000  00000000  00000000  00000000
    19D0		00000000  00000000  00000000  00000000
    19E0		00000000  00000000  00000000  00000000
    19F0		00000000  00000000  00000000  00000000
    1A00		00000000  00000000  00000000  00000000
    1A10		00000000  00000000  00000000  00000000
    1A20		00000000  00000000  00000000  00000000
    1A30		00000000  00000000  00000000  00000000
    1A40		00000000  00000000  00000000  00000000
    1A50		00000000  00000000  00000000  00000000
    1A60		00000000  00000000  00000000  00000000
    1A70		00000000  00000000  00000000  00000000
    1A80		00000000  00000000  00000000  00000000
    1A90		00000000  00000000  00000000  00000000
    1AA0		00000000  00000000  00000000  00000000
    1AB0		00000000  00000000  00000000  00000000
    1AC0		00000000  00000000  00000000  00000000
    1AD0		00000000  00000000  00000000  00000000
    1AE0		00000000  00000000  00000000  00000000
    1AF0		00000000  00000000  00000000  00000000
    1B00		00000000  00000000  00000000  00000000
    1B10		00000000  00000000  00000000  00000000
    1B20		00000000  00000000  00000000  00000000
    1B30		00000000  00000000  00000000  00000000
    1B40		00000000  00000000  00000000  00000000
    1B50		00000000  00000000  00000000  00000000
    1B60		00000000  00000000  00000000  00000000
    1B70		00000000  00000000  00000000  00000000
    1B80		00000000  00000000  00000000  00000000
    1B90		00000000  00000000  00000000  00000000
    1BA0		00000000  00000000  00000000  00000000
    1BB0		00000000  00000000  00000000  00000000
    1BC0		00000000  00000000  00000000  00000000
    1BD0		00000000  00000000  00000000  00000000
    1BE0		00000000  00000000  00000000  00000000
    1BF0		00000000  00000000  00000000  00000000
    1C00		00000000  00000000  00000000  00000000
    1C10		00000000  00000000  00000000  00000000
    1C20		00000000  00000000  00000000  00000000
    1C30		00000000  00000000  00000000  00000000
    1C40		00000000  00000000  00000000  00000000
    1C50		00000000  00000000  00000000  00000000
    1C60		00000000  00000000  00000000  00000000
    1C70		00000000  00000000  00000000  00000000
    1C80		00000000  00000000  00000000  00000000
    1C90		00000000  00000000  00000000  00000000
    1CA0		00000000  00000000  00000000  00000000
    1CB0		00000000  00000000  00000000  00000000
    1CC0		00000000  00000000  00000000  00000000
    1CD0		00000000  00000000  00000000  00000000
    1CE0		00000000  00000000  00000000  00000000
    1CF0		00000000  00000000  00000000  00000000
    1D00		00000000  00000000  00000000  00000000
    1D10		00000000  00000000  00000000  00000000
    1D20		00000000  00000000  00000000  00000000
    1D30		00000000  00000000  00000000  00000000
    1D40		00000000  00000000  00000000  00000000
    1D50		00000000  00000000  00000000  00000000
    1D60		00000000  00000000  00000000  00000000
    1D70		00000000  00000000  00000000  00000000
    1D80		00000000  00000000  00000000  00000000
    1D90		00000000  00000000  00000000  00000000
    1DA0		00000000  00000000  00000000  00000000
    1DB0		00000000  00000000  00000000  00000000
    1DC0		00000000  00000000  00000000  00000000
    1DD0		00000000  00000000  00000000  00000000
    1DE0		00000000  00000000  00000000  00000000
    1DF0		00000000  00000000  00000000  00000000
    1E00		00000000  00000000  00000000  00000000
    1E10		00000000  00000000  00000000  00000000
    1E20		00000000  00000000  00000000  00000000
    1E30		00000000  00000000  00000000  00000000
    1E40		00000000  00000000  00000000  00000000
    1E50		00000000  00000000  00000000  00000000
    1E60		00000000  00000000  00000000  00000000
    1E70		00000000  00000000  00000000  00000000
    1E80		00000000  00000000  00000000  00000000
    1E90		00000000  00000000  00000000  00000000
    1EA0		00000000  00000000  00000000  00000000
    1EB0		00000000  00000000  00000000  00000000
    1EC0		00000000  00000000  00000000  00000000
    1ED0		00000000  00000000  00000000  00000000
    1EE0		00000000  00000000  00000000  00000000
    1EF0		00000000  00000000  00000000  00000000
    1F00		00000000  00000000  00000000  00000000
    1F10		00000000  00000000  00000000  00000000
    1F20		00000000  00000000  00000000  00000000
    1F30		00000000  00000000  00000000  00000000
    1F40		00000000  00000000  00000000  00000000
    1F50		00000000  00000000  00000000  00000000
    1F60		00000000  00000000  00000000  00000000
    1F70		00000000  00000000  00000000  00000000
    1F80		00000000  00000000  00000000  00000000
    1F90		00000000  00000000  00000000  00000000
    1FA0		00000000  00000000  00000000  00000000
    1FB0		00000000  00000000  00000000  00000000
    1FC0		00000000  00000000  00000000  00000000
    1FD0		00000000  00000000  00000000  00000000
    1FE0		00000000  00000000  00000000  00000000
    1FF0		00000000  00000000  00000000  00000000
    2000		00000000  00000000  00000000  00000017
    2010		40094B20  3D03400C  2B400633  20244B20
    2020		623F2FEE  0340000F  400F0340  030F400C
    2030		4B20620B  40094F00  00F10010  00074006
    2040		034006E3  2100332F  FADB2FED  2B400633
    2050		205B57C0  0F2F20FF  3B2FE813  400C4F00
    2060		00050740  06E32FF9  332FFA53  C00FDF2F
    2070		F02F400C  3B2FEE4F  00000000  00000000
    2080		00000000  00000000  00000000  00000000
